ID;nome;profissao;idade
1;Mandy;Production Painter;62
2;Bob;Inspector;20
3;Gabriel;IT Support Staff;14
4;Fiona;Baker;54
5;Ryan;Dentist;51
6;Claire;Investment  Advisor;26
7;Daron;Electrician;55
8;Alexander;Operator;48
9;Nate;Clerk;30
10;Mike;Laboratory Technician;40
11;Kenzie;Clerk;56
12;Cassidy;Call Center Representative;40
13;Alison;Mobile Developer;36
14;Angelica;Baker;46
15;Johnny;Operator;39
16;Maxwell;Cook;31
17;Rocco;Paramedic;44
18;Gabriel;Insurance Broker;35
19;Ruth;Software Engineer;49
20;Peter;Project Manager;41
21;Javier;Inspector;45
22;Lucas;IT Support Staff;49
23;Anthony;Service Supervisor;49
24;Tiffany;Call Center Representative;60
25;Analise;Lecturer;35
26;Gil;Operator;55
27;David;CNC Operator;46
28;Winnie;Assistant Buyer;10
29;Daron;Stockbroker;51
30;Melania;Pharmacist;56
31;Jocelyn;Production Painter;52
32;Percy;Physician;60
33;Norah;Project Manager;51
34;Benjamin;HR Coordinator;46
35;Valerie;Cashier;21
36;Kimberly;Insurance Broker;24
37;Ema;Baker;48
38;Tom;Production Painter;50
39;Logan;Pharmacist;35
40;Leah;Lecturer;20
41;Marvin;Electrician;14
42;Lynn;Laboratory Technician;49
43;Alan;Baker;12
44;Manuel;Front Desk Coordinator;39
45;Florence;IT Support Staff;29
46;Alexander;Pharmacist;69
47;Chadwick;Webmaster;13
48;Nick;Fabricator;20
49;Carl;Clerk;26
50;Georgia;Clerk;23
51;Carina;Doctor;43
52;Ryan;Project Manager;28
53;Eden;CNC Operator;16
54;Anabel;Audiologist;57
55;Cynthia;Paramedic;28
56;Ally;Business Broker;67
57;Barry;Chef Manager;41
58;Roger;Cashier;55
59;Alexa;Production Painter;12
60;Camila;Chef Manager;48
61;Maxwell;Production Painter;69
62;William;Physician;29
63;Enoch;Web Developer;40
64;Alessandra;Machine Operator;49
65;Leroy;IT Support Staff;31
66;Evie;Bellman;32
67;Elijah;Accountant;38
68;Christine;Designer;45
69;Megan;CNC Operator;28
70;Penelope;Physician;13
71;Percy;Operator;40
72;Mike;Inspector;40
73;Tom;Audiologist;31
74;Alba;Staffing Consultant;58
75;Alan;Global Logistics Supervisor;26
76;Rosalee;Call Center Representative;27
77;Maribel;Investment  Advisor;44
78;Lucas;Web Developer;40
79;Luke;Production Painter;11
80;Amelia;Physician;38
81;Logan;CNC Operator;53
82;Rocco;Budget Analyst;21
83;Javier;Fabricator;23
84;Maxwell;Design Engineer;54
85;Angelica;Auditor;28
86;Lara;Doctor;15
87;Helen;Clerk;47
88;Nick;Fabricator;48
89;Brad;Bellman;63
