ID;nome;profissao;idade
1;Ron;Physician;40
2;Sebastian;Lecturer;38
3;Maya;IT Support Staff;21
4;Alexander;Cashier;27
5;Goldie;Mobile Developer;35
6;Maddison;Inspector;51
7;Harvey;Cook;58
8;Henry;Pharmacist;14
9;Lara;HR Coordinator;66
10;Nicole;Project Manager;65
11;Martin;Cashier;44
12;Selena;Call Center Representative;24
13;Russel;Restaurant Manager;30
14;Caleb;Assistant Buyer;44
15;Amy;Restaurant Manager;37
16;Kurt;Cashier;67
17;Tania;CNC Operator;30
18;Summer;Banker;46
19;Rick;Health Educator;21
20;Jacob;Business Broker;51
21;John;Auditor;53
22;Sara;Lecturer;51
23;Dalia;Doctor;45
24;Logan;Retail Trainee;23
25;Nate;Business Broker;22
26;Adalind;Cashier;41
27;Luna;Insurance Broker;62
28;Clint;Systems Administrator;30
29;Nick;Healthcare Specialist;36
30;Harry;Project Manager;54
31;Stacy;Software Engineer;46
32;Nate;Stockbroker;69
33;Ethan;Paramedic;36
34;Noah;Bellman;62
35;Nathan;Web Developer;32
36;Julian;Budget Analyst;19
37;Cedrick;Auditor;29
38;Joseph;Design Engineer;53
39;Tara;Health Educator;32
40;Danny;Ambulatory Nurse;20
41;Joseph;Physician;67
42;Nate;Dentist;56
43;Lorraine;Physician;39
44;Caydence;Bookkeeper;14
45;Aiden;Pharmacist;24
46;Erica;Executive Director;48
47;Marvin;Fabricator;64
48;Catherine;Associate Professor;25
49;Gabriel;Electrician;22
50;Teagan;Cook;22
51;Leah;HR Coordinator;64
52;Ema;Accountant;47
53;Bryon;Software Engineer;18
54;Javier;Global Logistics Supervisor;21
55;Rocco;Laboratory Technician;39
56;Ethan;Healthcare Specialist;57
57;Wade;Webmaster;32
58;Benny;Stockbroker;17
59;Jane;Chef Manager;27
60;Kurt;Baker;68
61;Vera;Accountant;19
62;Maddison;Production Painter;59
63;Elise;Fabricator;35
64;Gabriel;Food Technologist;48
65;David;Global Logistics Supervisor;13
66;Cassandra;Biologist;10
67;Bob;Designer;57
68;Leanne;Clerk;26
69;Cherish;Executive Director;51
70;Livia;Systems Administrator;14
71;Kamila;Dentist;41
72;Molly;Call Center Representative;67
73;Enoch;Chef Manager;41
74;Ciara;Call Center Representative;60
75;Daron;Software Engineer;37
76;Rocco;Steward;61
77;Bree;CNC Operator;30
78;Sloane;Systems Administrator;55
79;Mason;Audiologist;48
80;Margot;Lecturer;16
81;Alexa;Loan Officer;67
82;Tyler;Retail Trainee;18
83;Alexander;Stockbroker;42
84;Bryon;Restaurant Manager;57
85;Barry;Biologist;42
86;Daron;Production Painter;44
87;Mason;Retail Trainee;33
88;Liv;Inspector;56
89;Michael;Budget Analyst;51
90;Kendra;Stockbroker;60
91;Rocco;Stockbroker;39
92;Mackenzie;Cash Manager;68
93;Ilona;Bellman;50
94;Gil;Executive Director;45
95;Denny;CNC Operator;31
96;Belinda;Healthcare Specialist;39
97;William;Operator;65
98;Alessia;HR Coordinator;39
99;Remy;Paramedic;45
100;Livia;Steward;53
101;Maia;Paramedic;23
102;Josephine;Cashier;48
103;Doug;Steward;42
104;Nick;HR Specialist;60
105;Dalia;Biologist;36
106;Sylvia;Web Developer;13
107;Angelica;Healthcare Specialist;51
108;Barney;Laboratory Technician;39
109;Daria;Food Technologist;45
110;Alison;Cook;45
111;Maxwell;Dentist;58
112;Callie;Design Engineer;65
